LOG FORMAT | segmentation_LOSS mIoU Acc | depth_LOSS AbsErr RelErr | TIME
Epoch: 0036 | TRAIN: 0.1251 0.7224 0.9523 | 0.0153 0.0153 0.2043 | Time: 139.5785 | VAL: 0.2054 0.6532 0.9322 | 0.0188 0.0188 0.3595 | Time: 3.5296 | TEST: 0.8454 0.4739 0.7635 | 0.1427 0.1430 307.8976 | Time: 4.4794
Epoch: 0037 | TRAIN: 0.1203 0.7294 0.9538 | 0.0144 0.0144 0.1951 | Time: 147.0492 | VAL: 0.2010 0.6499 0.9327 | 0.0177 0.0177 0.3218 | Time: 3.7109 | TEST: 0.7641 0.4910 0.7791 | 0.1281 0.1284 291.9674 | Time: 4.4026
Epoch: 0038 | TRAIN: 0.1185 0.7326 0.9543 | 0.0144 0.0144 0.1963 | Time: 139.6781 | VAL: 0.1958 0.6588 0.9353 | 0.0175 0.0175 0.2568 | Time: 3.6641 | TEST: 0.7117 0.5033 0.7921 | 0.1470 0.1474 313.9115 | Time: 4.6805
Epoch: 0039 | TRAIN: 0.1158 0.7354 0.9553 | 0.0142 0.0142 0.1887 | Time: 139.6022 | VAL: 0.1978 0.6622 0.9358 | 0.0192 0.0192 0.4070 | Time: 3.8725 | TEST: 0.7930 0.4896 0.7708 | 0.1333 0.1336 299.8106 | Time: 4.5150
Epoch: 0040 | TRAIN: 0.1142 0.7372 0.9558 | 0.0140 0.0140 0.1871 | Time: 141.8512 | VAL: 0.1995 0.6596 0.9347 | 0.0181 0.0181 0.3111 | Time: 3.7562 | TEST: 0.7257 0.5086 0.7927 | 0.1424 0.1427 307.6525 | Time: 4.5453
Epoch: 0041 | TRAIN: 0.1138 0.7385 0.9559 | 0.0138 0.0138 0.1777 | Time: 140.0007 | VAL: 0.2009 0.6587 0.9353 | 0.0178 0.0178 0.3593 | Time: 3.7328 | TEST: 0.6620 0.5168 0.8085 | 0.1443 0.1446 314.4926 | Time: 5.0600
Epoch: 0042 | TRAIN: 0.1124 0.7407 0.9564 | 0.0139 0.0139 0.1762 | Time: 141.1061 | VAL: 0.2018 0.6590 0.9346 | 0.0180 0.0180 0.3094 | Time: 4.1870 | TEST: 0.8423 0.4803 0.7662 | 0.1380 0.1383 302.2920 | Time: 6.7688
Epoch: 0043 | TRAIN: 0.1118 0.7414 0.9565 | 0.0138 0.0138 0.1747 | Time: 140.7227 | VAL: 0.2004 0.6585 0.9354 | 0.0175 0.0175 0.2603 | Time: 4.5252 | TEST: 0.7013 0.5096 0.8012 | 0.1397 0.1401 303.6330 | Time: 5.7233
Epoch: 0044 | TRAIN: 0.1107 0.7426 0.9569 | 0.0136 0.0136 0.1863 | Time: 139.4071 | VAL: 0.2026 0.6547 0.9352 | 0.0189 0.0189 0.3882 | Time: 4.5214 | TEST: 0.6840 0.5166 0.8089 | 0.1376 0.1379 304.9314 | Time: 4.3513
Epoch: 0045 | TRAIN: 0.1110 0.7417 0.9567 | 0.0137 0.0137 0.1730 | Time: 141.1754 | VAL: 0.1972 0.6599 0.9352 | 0.0195 0.0195 0.4239 | Time: 3.5401 | TEST: 0.7511 0.5005 0.7865 | 0.1384 0.1387 303.3587 | Time: 4.5760
Epoch: 0046 | TRAIN: 0.1101 0.7437 0.9570 | 0.0138 0.0138 0.1720 | Time: 142.0032 | VAL: 0.2003 0.6605 0.9344 | 0.0162 0.0162 0.2472 | Time: 3.5679 | TEST: 0.7121 0.5047 0.7943 | 0.1432 0.1435 301.8526 | Time: 4.4732
Epoch: 0047 | TRAIN: 0.1094 0.7445 0.9572 | 0.0130 0.0130 0.1703 | Time: 141.8845 | VAL: 0.2151 0.6501 0.9313 | 0.0182 0.0182 0.3242 | Time: 3.6967 | TEST: 0.7401 0.4999 0.7945 | 0.1460 0.1463 311.5740 | Time: 4.4725
Epoch: 0048 | TRAIN: 0.1160 0.7358 0.9550 | 0.0138 0.0138 0.1829 | Time: 141.0870 | VAL: 0.2021 0.6545 0.9347 | 0.0186 0.0186 0.3928 | Time: 3.2775 | TEST: 0.7052 0.5060 0.8026 | 0.1426 0.1429 310.5944 | Time: 4.2531
Epoch: 0049 | TRAIN: 0.1104 0.7427 0.9568 | 0.0135 0.0135 0.1731 | Time: 139.0403 | VAL: 0.1988 0.6573 0.9356 | 0.0173 0.0173 0.2920 | Time: 4.5878 | TEST: 0.6954 0.5090 0.8043 | 0.1430 0.1433 309.8162 | Time: 5.1524

